Pays,Lat,Long,Date,Infections,Deces,Guerisons,TauxDeces,TauxGuerison,TauxInfection
Lettonie,56.840649,24.753764,2020-04-16,675,5,57,0.74,8.44,90.81
Lettonie,56.840649,24.753764,2020-04-15,666,5,44,0.75,6.61,92.64
Lettonie,56.840649,24.753764,2020-04-14,657,5,16,0.76,2.44,96.80
Lettonie,56.840649,24.753764,2020-04-13,655,5,16,0.76,2.44,96.79
Lettonie,56.840649,24.753764,2020-04-12,651,5,16,0.77,2.46,96.77
Lettonie,56.840649,24.753764,2020-04-11,630,3,16,0.48,2.54,96.98
Lettonie,56.840649,24.753764,2020-04-10,612,3,16,0.49,2.61,96.90
Lettonie,56.840649,24.753764,2020-04-09,589,3,16,0.51,2.72,96.77
Lettonie,56.840649,24.753764,2020-04-08,577,2,16,0.35,2.77,96.88
Lettonie,56.840649,24.753764,2020-04-07,548,2,16,0.36,2.92,96.72
Lettonie,56.840649,24.753764,2020-04-06,542,1,16,0.18,2.95,96.86
Lettonie,56.840649,24.753764,2020-04-05,533,1,1,0.19,0.19,99.62
Lettonie,56.840649,24.753764,2020-04-04,509,1,1,0.20,0.20,99.61
Lettonie,56.840649,24.753764,2020-04-03,493,1,1,0.20,0.20,99.59
Lettonie,56.840649,24.753764,2020-04-02,458,0,31,0.00,6.77,93.23
Lettonie,56.840649,24.753764,2020-04-01,446,0,1,0.00,0.22,99.78
Lettonie,56.840649,24.753764,2020-03-31,398,0,1,0.00,0.25,99.75
Lettonie,56.840649,24.753764,2020-03-30,376,0,1,0.00,0.27,99.73
Lettonie,56.840649,24.753764,2020-03-29,347,0,1,0.00,0.29,99.71
Lettonie,56.840649,24.753764,2020-03-28,305,0,1,0.00,0.33,99.67
Lettonie,56.840649,24.753764,2020-03-27,280,0,1,0.00,0.36,99.64
Lettonie,56.840649,24.753764,2020-03-26,244,0,1,0.00,0.41,99.59
Lettonie,56.840649,24.753764,2020-03-25,221,0,1,0.00,0.45,99.55
Lettonie,56.840649,24.753764,2020-03-24,197,0,1,0.00,0.51,99.49
Lettonie,56.840649,24.753764,2020-03-23,180,0,1,0.00,0.56,99.44
Lettonie,56.840649,24.753764,2020-03-22,139,0,1,0.00,0.72,99.28
Lettonie,56.840649,24.753764,2020-03-21,124,0,1,0.00,0.81,99.19
Lettonie,56.840649,24.753764,2020-03-20,111,0,1,0.00,0.90,99.10
Lettonie,56.840649,24.753764,2020-03-19,86,0,1,0.00,1.16,98.84
Lettonie,56.840649,24.753764,2020-03-18,71,0,1,0.00,1.41,98.59
Lettonie,56.840649,24.753764,2020-03-17,49,0,1,0.00,2.04,97.96
Lettonie,56.840649,24.753764,2020-03-16,34,0,1,0.00,2.94,97.06
Lettonie,56.840649,24.753764,2020-03-15,30,0,1,0.00,3.33,96.67
Lettonie,56.840649,24.753764,2020-03-14,26,0,1,0.00,3.85,96.15
Lettonie,56.840649,24.753764,2020-03-13,17,0,1,0.00,5.88,94.12
Lettonie,56.840649,24.753764,2020-03-12,10,0,1,0.00,10.00,90.00
Lettonie,56.840649,24.753764,2020-03-11,10,0,1,0.00,10.00,90.00
Lettonie,56.840649,24.753764,2020-03-10,8,0,1,0.00,12.50,87.50
Lettonie,56.840649,24.753764,2020-03-09,6,0,0,0.00,0.00,100.00
Lettonie,56.840649,24.753764,2020-03-08,2,0,0,0.00,0.00,100.00
Lettonie,56.840649,24.753764,2020-03-07,1,0,0,0.00,0.00,100.00
Lettonie,56.840649,24.753764,2020-03-06,1,0,0,0.00,0.00,100.00
Lettonie,56.840649,24.753764,2020-03-05,1,0,0,0.00,0.00,100.00
Lettonie,56.840649,24.753764,2020-03-04,1,0,0,0.00,0.00,100.00
Lettonie,56.840649,24.753764,2020-03-03,1,0,0,0.00,0.00,100.00
Lettonie,56.840649,24.753764,2020-03-02,1,0,0,0.00,0.00,100.00
Lituanie,55.350000,23.749999,2020-04-28,1344,44,536,3.27,39.88,56.85
Lituanie,55.350000,23.749999,2020-04-27,1449,41,474,2.83,32.71,64.46
Lituanie,55.350000,23.749999,2020-04-26,1438,41,467,2.85,32.48,64.67
Lituanie,55.350000,23.749999,2020-04-25,1426,41,460,2.88,32.26,64.87
Lituanie,55.350000,23.749999,2020-04-24,1410,40,430,2.84,30.50,66.67
Lituanie,55.350000,23.749999,2020-04-23,1398,40,399,2.86,28.54,68.60
Lituanie,55.350000,23.749999,2020-04-22,1370,38,357,2.77,26.06,71.17
Lituanie,55.350000,23.749999,2020-04-21,1350,38,298,2.81,22.07,75.11
Lituanie,55.350000,23.749999,2020-04-20,1326,37,242,2.79,18.25,78.96
Lituanie,55.350000,23.749999,2020-04-19,1298,35,242,2.70,18.64,78.66
Lituanie,55.350000,23.749999,2020-04-18,1239,33,228,2.66,18.40,78.93
Lituanie,55.350000,23.749999,2020-04-17,1149,33,210,2.87,18.28,78.85
Lituanie,55.350000,23.749999,2020-04-16,1128,32,178,2.84,15.78,81.38
Lituanie,55.350000,23.749999,2020-04-15,1091,30,138,2.75,12.65,84.60
Lituanie,55.350000,23.749999,2020-04-14,1070,29,101,2.71,9.44,87.85
Lituanie,55.350000,23.749999,2020-04-13,1062,24,101,2.26,9.51,88.23
Lituanie,55.350000,23.749999,2020-04-12,1053,23,97,2.18,9.21,88.60
Lituanie,55.350000,23.749999,2020-04-11,1026,23,54,2.24,5.26,92.50
Lituanie,55.350000,23.749999,2020-04-10,999,22,54,2.20,5.41,92.39
Lituanie,55.350000,23.749999,2020-04-09,955,16,8,1.68,0.84,97.49
Lituanie,55.350000,23.749999,2020-04-08,912,15,8,1.64,0.88,97.48
Lituanie,55.350000,23.749999,2020-04-07,880,15,8,1.70,0.91,97.39
Lituanie,55.350000,23.749999,2020-04-06,843,15,8,1.78,0.95,97.27
Lituanie,55.350000,23.749999,2020-04-05,811,13,7,1.60,0.86,97.53
Lituanie,55.350000,23.749999,2020-04-04,771,11,7,1.43,0.91,97.67
Lituanie,55.350000,23.749999,2020-04-03,696,9,7,1.29,1.01,97.70
Lituanie,55.350000,23.749999,2020-04-02,649,9,7,1.39,1.08,97.53
Lituanie,55.350000,23.749999,2020-04-01,581,8,7,1.38,1.20,97.42
Lituanie,55.350000,23.749999,2020-03-31,537,8,7,1.49,1.30,97.21
Lituanie,55.350000,23.749999,2020-03-30,491,7,7,1.43,1.43,97.15
Lituanie,55.350000,23.749999,2020-03-29,460,7,1,1.52,0.22,98.26
Lituanie,55.350000,23.749999,2020-03-28,394,7,1,1.78,0.25,97.97
Lituanie,55.350000,23.749999,2020-03-27,358,5,1,1.40,0.28,98.32
Lituanie,55.350000,23.749999,2020-03-26,299,4,1,1.34,0.33,98.33
Lituanie,55.350000,23.749999,2020-03-25,274,4,1,1.46,0.36,98.18
Lituanie,55.350000,23.749999,2020-03-24,209,2,1,0.96,0.48,98.56
Lituanie,55.350000,23.749999,2020-03-23,179,1,1,0.56,0.56,98.88
Lituanie,55.350000,23.749999,2020-03-22,129,1,1,0.78,0.78,98.45
Lituanie,55.350000,23.749999,2020-03-21,83,1,1,1.20,1.20,97.59
Lituanie,55.350000,23.749999,2020-03-20,49,0,1,0.00,2.04,97.96
Lituanie,55.350000,23.749999,2020-03-19,36,0,1,0.00,2.78,97.22
Lituanie,55.350000,23.749999,2020-03-18,27,0,1,0.00,3.70,96.30
Lituanie,55.350000,23.749999,2020-03-17,25,0,1,0.00,4.00,96.00
Lituanie,55.350000,23.749999,2020-03-16,17,0,1,0.00,5.88,94.12
Lituanie,55.350000,23.749999,2020-03-15,12,0,1,0.00,8.33,91.67
Lituanie,55.350000,23.749999,2020-03-14,8,0,0,0.00,0.00,100.00
Lituanie,55.350000,23.749999,2020-03-13,6,0,0,0.00,0.00,100.00
Lituanie,55.350000,23.749999,2020-03-12,3,0,0,0.00,0.00,100.00
Lituanie,55.350000,23.749999,2020-03-11,3,0,0,0.00,0.00,100.00
Lituanie,55.350000,23.749999,2020-03-10,1,0,0,0.00,0.00,100.00
Lituanie,55.350000,23.749999,2020-03-09,1,0,0,0.00,0.00,100.00
Lituanie,55.350000,23.749999,2020-03-08,1,0,0,0.00,0.00,100.00
Lituanie,55.350000,23.749999,2020-03-07,1,0,0,0.00,0.00,100.00
Lituanie,55.350000,23.749999,2020-03-06,1,0,0,0.00,0.00,100.00
Lituanie,55.350000,23.749999,2020-03-05,1,0,0,0.00,0.00,100.00
Lituanie,55.350000,23.749999,2020-03-04,1,0,0,0.00,0.00,100.00
Lituanie,55.350000,23.749999,2020-03-03,1,0,0,0.00,0.00,100.00
Lituanie,55.350000,23.749999,2020-03-02,1,0,0,0.00,0.00,100.00
Lituanie,55.350000,23.749999,2020-03-01,1,0,0,0.00,0.00,100.00
Lituanie,55.350000,23.749999,2020-02-29,1,0,0,0.00,0.00,100.00
Lituanie,55.350000,23.749999,2020-02-28,1,0,0,0.00,0.00,100.00
Luxembourg,49.754361,6.117630,2020-04-28,3729,88,3123,2.36,83.75,13.89
Luxembourg,49.754361,6.117630,2020-04-27,3729,88,3123,2.36,83.75,13.89
Luxembourg,49.754361,6.117630,2020-04-26,3723,88,3104,2.36,83.37,14.26
Luxembourg,49.754361,6.117630,2020-04-25,3711,85,3088,2.29,83.21,14.50
Luxembourg,49.754361,6.117630,2020-04-24,3695,85,3007,2.30,81.38,16.32
Luxembourg,49.754361,6.117630,2020-04-23,3665,83,728,2.26,19.86,77.87
Luxembourg,49.754361,6.117630,2020-04-22,3654,80,711,2.19,19.46,78.35
Luxembourg,49.754361,6.117630,2020-04-21,3618,78,670,2.16,18.52,79.33
Luxembourg,49.754361,6.117630,2020-04-20,3558,75,637,2.11,17.90,79.99
Luxembourg,49.754361,6.117630,2020-04-19,3550,73,627,2.06,17.66,80.28
Luxembourg,49.754361,6.117630,2020-04-18,3537,72,601,2.04,16.99,80.97
Luxembourg,49.754361,6.117630,2020-04-17,3480,72,579,2.07,16.64,81.29
Luxembourg,49.754361,6.117630,2020-04-16,3444,69,552,2.00,16.03,81.97
Luxembourg,49.754361,6.117630,2020-04-15,3373,69,526,2.05,15.59,82.36
Luxembourg,49.754361,6.117630,2020-04-14,3307,67,500,2.03,15.12,82.85
Luxembourg,49.754361,6.117630,2020-04-13,3292,69,500,2.10,15.19,82.72
Luxembourg,49.754361,6.117630,2020-04-12,3281,66,500,2.01,15.24,82.75
Luxembourg,49.754361,6.117630,2020-04-11,3270,62,500,1.90,15.29,82.81
Luxembourg,49.754361,6.117630,2020-04-10,3223,54,500,1.68,15.51,82.81
Luxembourg,49.754361,6.117630,2020-04-09,3115,52,500,1.67,16.05,82.28
Luxembourg,49.754361,6.117630,2020-04-08,3034,46,500,1.52,16.48,82.00
Luxembourg,49.754361,6.117630,2020-04-07,2970,44,500,1.48,16.84,81.68
Luxembourg,49.754361,6.117630,2020-04-06,2843,41,500,1.44,17.59,80.97
Luxembourg,49.754361,6.117630,2020-04-05,2804,36,500,1.28,17.83,80.88
Luxembourg,49.754361,6.117630,2020-04-04,2729,31,500,1.14,18.32,80.54
Luxembourg,49.754361,6.117630,2020-04-03,2612,31,500,1.19,19.14,79.67
Luxembourg,49.754361,6.117630,2020-04-02,2487,30,80,1.21,3.22,95.58
Luxembourg,49.754361,6.117630,2020-04-01,2319,29,80,1.25,3.45,95.30
Luxembourg,49.754361,6.117630,2020-03-31,2178,23,80,1.06,3.67,95.27
Luxembourg,49.754361,6.117630,2020-03-30,1988,22,40,1.11,2.01,96.88
Luxembourg,49.754361,6.117630,2020-03-29,1950,21,40,1.08,2.05,96.87
Luxembourg,49.754361,6.117630,2020-03-28,1831,18,40,0.98,2.18,96.83
Luxembourg,49.754361,6.117630,2020-03-27,1605,15,40,0.93,2.49,96.57
Luxembourg,49.754361,6.117630,2020-03-26,1453,9,6,0.62,0.41,98.97
Luxembourg,49.754361,6.117630,2020-03-25,1333,8,6,0.60,0.45,98.95
Luxembourg,49.754361,6.117630,2020-03-24,1099,8,6,0.73,0.55,98.73
Luxembourg,49.754361,6.117630,2020-03-23,875,8,6,0.91,0.69,98.40
Luxembourg,49.754361,6.117630,2020-03-22,798,8,6,1.00,0.75,98.25
Luxembourg,49.754361,6.117630,2020-03-21,670,8,0,1.19,0.00,98.81
Luxembourg,49.754361,6.117630,2020-03-20,484,4,0,0.83,0.00,99.17
Luxembourg,49.754361,6.117630,2020-03-19,335,4,0,1.19,0.00,98.81
Luxembourg,49.754361,6.117630,2020-03-18,203,2,0,0.99,0.00,99.01
Luxembourg,49.754361,6.117630,2020-03-17,140,1,0,0.71,0.00,99.29
Luxembourg,49.754361,6.117630,2020-03-16,77,1,0,1.30,0.00,98.70
Luxembourg,49.754361,6.117630,2020-03-15,59,1,0,1.69,0.00,98.31
Luxembourg,49.754361,6.117630,2020-03-14,51,1,0,1.96,0.00,98.04
Luxembourg,49.754361,6.117630,2020-03-13,34,0,0,0.00,0.00,100.00
Luxembourg,49.754361,6.117630,2020-03-12,19,0,0,0.00,0.00,100.00
Luxembourg,49.754361,6.117630,2020-03-11,7,0,0,0.00,0.00,100.00
Luxembourg,49.754361,6.117630,2020-03-10,5,0,0,0.00,0.00,100.00
Luxembourg,49.754361,6.117630,2020-03-09,3,0,0,0.00,0.00,100.00
Luxembourg,49.754361,6.117630,2020-03-08,3,0,0,0.00,0.00,100.00
Luxembourg,49.754361,6.117630,2020-03-07,2,0,0,0.00,0.00,100.00
Luxembourg,49.754361,6.117630,2020-03-06,2,0,0,0.00,0.00,100.00
Luxembourg,49.754361,6.117630,2020-03-05,1,0,0,0.00,0.00,100.00
Luxembourg,49.754361,6.117630,2020-03-04,1,0,0,0.00,0.00,100.00
Luxembourg,49.754361,6.117630,2020-03-03,1,0,0,0.00,0.00,100.00
Luxembourg,49.754361,6.117630,2020-03-02,1,0,0,0.00,0.00,100.00
Luxembourg,49.754361,6.117630,2020-03-01,1,0,0,0.00,0.00,100.00
Luxembourg,49.754361,6.117630,2020-02-29,1,0,0,0.00,0.00,100.00
Malte,35.888599,14.447691,2020-04-28,458,4,303,0.87,66.16,32.97
Malte,35.888599,14.447691,2020-04-27,450,4,286,0.89,63.56,35.56
Malte,35.888599,14.447691,2020-04-26,448,4,282,0.89,62.95,36.16
Malte,35.888599,14.447691,2020-04-25,448,4,249,0.89,55.58,43.53
Malte,35.888599,14.447691,2020-04-24,447,3,223,0.67,49.89,49.44
Malte,35.888599,14.447691,2020-04-23,445,3,204,0.67,45.84,53.48
Malte,35.888599,14.447691,2020-04-22,444,3,165,0.68,37.16,62.16
Malte,35.888599,14.447691,2020-04-21,443,3,150,0.68,33.86,65.46
Malte,35.888599,14.447691,2020-04-20,431,3,126,0.70,29.23,70.07
Malte,35.888599,14.447691,2020-04-19,427,3,118,0.70,27.63,71.66
Malte,35.888599,14.447691,2020-04-18,426,3,99,0.70,23.24,76.06
Malte,35.888599,14.447691,2020-04-17,422,3,91,0.71,21.56,77.73
Malte,35.888599,14.447691,2020-04-16,412,3,82,0.73,19.90,79.37
Malte,35.888599,14.447691,2020-04-15,399,3,44,0.75,11.03,88.22
Malte,35.888599,14.447691,2020-04-14,393,3,44,0.76,11.20,88.04
Malte,35.888599,14.447691,2020-04-13,384,3,44,0.78,11.46,87.76
Malte,35.888599,14.447691,2020-04-12,378,3,44,0.79,11.64,87.57
Malte,35.888599,14.447691,2020-04-11,370,3,16,0.81,4.32,94.86
Malte,35.888599,14.447691,2020-04-10,350,2,16,0.57,4.57,94.86
Malte,35.888599,14.447691,2020-04-09,337,2,16,0.59,4.75,94.66
Malte,35.888599,14.447691,2020-04-08,299,1,16,0.33,5.35,94.31
Malte,35.888599,14.447691,2020-04-07,293,0,5,0.00,1.71,98.29
Malte,35.888599,14.447691,2020-04-06,241,0,5,0.00,2.07,97.93
Malte,35.888599,14.447691,2020-04-05,227,0,5,0.00,2.20,97.80
Malte,35.888599,14.447691,2020-04-04,213,0,2,0.00,0.94,99.06
Malte,35.888599,14.447691,2020-04-03,202,0,2,0.00,0.99,99.01
Malte,35.888599,14.447691,2020-04-02,196,0,2,0.00,1.02,98.98
Malte,35.888599,14.447691,2020-04-01,188,0,2,0.00,1.06,98.94
Malte,35.888599,14.447691,2020-03-31,169,0,2,0.00,1.18,98.82
Malte,35.888599,14.447691,2020-03-30,156,0,2,0.00,1.28,98.72
Malte,35.888599,14.447691,2020-03-29,151,0,2,0.00,1.32,98.68
Malte,35.888599,14.447691,2020-03-28,149,0,2,0.00,1.34,98.66
Malte,35.888599,14.447691,2020-03-27,139,0,2,0.00,1.44,98.56
Malte,35.888599,14.447691,2020-03-26,134,0,2,0.00,1.49,98.51
Malte,35.888599,14.447691,2020-03-25,129,0,2,0.00,1.55,98.45
Malte,35.888599,14.447691,2020-03-24,110,0,2,0.00,1.82,98.18
Malte,35.888599,14.447691,2020-03-23,107,0,2,0.00,1.87,98.13
Malte,35.888599,14.447691,2020-03-22,90,0,2,0.00,2.22,97.78
Malte,35.888599,14.447691,2020-03-21,73,0,2,0.00,2.74,97.26
Malte,35.888599,14.447691,2020-03-20,64,0,2,0.00,3.13,96.88
Malte,35.888599,14.447691,2020-03-19,53,0,2,0.00,3.77,96.23
Malte,35.888599,14.447691,2020-03-18,38,0,2,0.00,5.26,94.74
Malte,35.888599,14.447691,2020-03-17,38,0,2,0.00,5.26,94.74
Malte,35.888599,14.447691,2020-03-16,30,0,2,0.00,6.67,93.33
Malte,35.888599,14.447691,2020-03-15,21,0,1,0.00,4.76,95.24
Malte,35.888599,14.447691,2020-03-14,18,0,1,0.00,5.56,94.44
Malte,35.888599,14.447691,2020-03-13,12,0,1,0.00,8.33,91.67
Malte,35.888599,14.447691,2020-03-12,6,0,0,0.00,0.00,100.00
Malte,35.888599,14.447691,2020-03-11,6,0,0,0.00,0.00,100.00
Malte,35.888599,14.447691,2020-03-10,5,0,0,0.00,0.00,100.00
Malte,35.888599,14.447691,2020-03-09,3,0,0,0.00,0.00,100.00
Malte,35.888599,14.447691,2020-03-08,3,0,0,0.00,0.00,100.00
Malte,35.888599,14.447691,2020-03-07,3,0,0,0.00,0.00,100.00
Hongrie,47.181758,19.506093,2020-04-28,2649,291,516,10.99,19.48,69.54
Hongrie,47.181758,19.506093,2020-04-27,2583,280,498,10.84,19.28,69.88
Hongrie,47.181758,19.506093,2020-04-26,2500,272,485,10.88,19.40,69.72
Hongrie,47.181758,19.506093,2020-04-25,2443,262,458,10.72,18.75,70.53
Hongrie,47.181758,19.506093,2020-04-24,2443,262,458,10.72,18.75,70.53
Hongrie,47.181758,19.506093,2020-04-23,2284,239,390,10.46,17.08,72.46
Hongrie,47.181758,19.506093,2020-04-22,2168,225,295,10.38,13.61,76.01
Hongrie,47.181758,19.506093,2020-04-21,2098,213,287,10.15,13.68,76.17
Hongrie,47.181758,19.506093,2020-04-20,1984,199,267,10.03,13.46,76.51
Hongrie,47.181758,19.506093,2020-04-19,1916,189,250,9.86,13.05,77.09
Hongrie,47.181758,19.506093,2020-04-18,1834,172,231,9.38,12.60,78.03
Hongrie,47.181758,19.506093,2020-04-17,1763,156,207,8.85,11.74,79.41
Hongrie,47.181758,19.506093,2020-04-16,1652,142,199,8.60,12.05,79.36
Hongrie,47.181758,19.506093,2020-04-15,1579,134,192,8.49,12.16,79.35
Hongrie,47.181758,19.506093,2020-04-14,1512,122,122,8.07,8.07,83.86
Hongrie,47.181758,19.506093,2020-04-13,1458,109,120,7.48,8.23,84.29
Hongrie,47.181758,19.506093,2020-04-12,1410,99,118,7.02,8.37,84.61
Hongrie,47.181758,19.506093,2020-04-11,1310,85,115,6.49,8.78,84.73
Hongrie,47.181758,19.506093,2020-04-10,1190,77,112,6.47,9.41,84.12
Hongrie,47.181758,19.506093,2020-04-09,980,66,96,6.73,9.80,83.47
Hongrie,47.181758,19.506093,2020-04-08,895,58,94,6.48,10.50,83.02
Hongrie,47.181758,19.506093,2020-04-07,817,47,71,5.75,8.69,85.56
Hongrie,47.181758,19.506093,2020-04-06,744,38,67,5.11,9.01,85.89
Hongrie,47.181758,19.506093,2020-04-05,733,34,66,4.64,9.00,86.36
Hongrie,47.181758,19.506093,2020-04-04,678,32,58,4.72,8.55,86.73
Hongrie,47.181758,19.506093,2020-04-03,623,26,43,4.17,6.90,88.92
Hongrie,47.181758,19.506093,2020-04-02,585,21,42,3.59,7.18,89.23
Hongrie,47.181758,19.506093,2020-04-01,525,20,40,3.81,7.62,88.57
Hongrie,47.181758,19.506093,2020-03-31,492,16,37,3.25,7.52,89.23
Hongrie,47.181758,19.506093,2020-03-30,447,15,34,3.36,7.61,89.04
Hongrie,47.181758,19.506093,2020-03-29,408,13,34,3.19,8.33,88.48
Hongrie,47.181758,19.506093,2020-03-28,343,11,34,3.21,9.91,86.88
Hongrie,47.181758,19.506093,2020-03-27,300,10,34,3.33,11.33,85.33
Hongrie,47.181758,19.506093,2020-03-26,261,10,28,3.83,10.73,85.44
Hongrie,47.181758,19.506093,2020-03-25,226,10,21,4.42,9.29,86.28
Hongrie,47.181758,19.506093,2020-03-24,187,9,21,4.81,11.23,83.96
Hongrie,47.181758,19.506093,2020-03-23,167,7,16,4.19,9.58,86.23
Hongrie,47.181758,19.506093,2020-03-22,131,6,16,4.58,12.21,83.21
Hongrie,47.181758,19.506093,2020-03-21,103,4,7,3.88,6.80,89.32
Hongrie,47.181758,19.506093,2020-03-20,85,3,2,3.53,2.35,94.12
Hongrie,47.181758,19.506093,2020-03-19,73,1,2,1.37,2.74,95.89
Hongrie,47.181758,19.506093,2020-03-18,58,1,2,1.72,3.45,94.83
Hongrie,47.181758,19.506093,2020-03-17,50,1,2,2.00,4.00,94.00
Hongrie,47.181758,19.506093,2020-03-16,39,1,1,2.56,2.56,94.87
Hongrie,47.181758,19.506093,2020-03-15,32,1,1,3.13,3.13,93.75
Hongrie,47.181758,19.506093,2020-03-14,30,0,1,0.00,3.33,96.67
Hongrie,47.181758,19.506093,2020-03-13,19,0,0,0.00,0.00,100.00
Hongrie,47.181758,19.506093,2020-03-12,13,0,0,0.00,0.00,100.00
Hongrie,47.181758,19.506093,2020-03-11,13,0,0,0.00,0.00,100.00
Hongrie,47.181758,19.506093,2020-03-10,9,0,0,0.00,0.00,100.00
Hongrie,47.181758,19.506093,2020-03-09,9,0,0,0.00,0.00,100.00
Hongrie,47.181758,19.506093,2020-03-08,7,0,0,0.00,0.00,100.00
Hongrie,47.181758,19.506093,2020-03-07,4,0,0,0.00,0.00,100.00
Hongrie,47.181758,19.506093,2020-03-06,2,0,0,0.00,0.00,100.00
Hongrie,47.181758,19.506093,2020-03-05,2,0,0,0.00,0.00,100.00
Hongrie,47.181758,19.506093,2020-03-04,2,0,0,0.00,0.00,100.00
Pays-Bas,52.247649,5.541246,2020-04-28,38612,4582,117,11.87,0.30,87.83
Pays-Bas,52.247649,5.541246,2020-04-27,38440,4534,117,11.80,0.30,87.90
Pays-Bas,52.247649,5.541246,2020-04-26,38040,4491,117,11.81,0.31,87.89
Pays-Bas,52.247649,5.541246,2020-04-25,37384,4424,102,11.83,0.27,87.89
Pays-Bas,52.247649,5.541246,2020-04-24,36729,4304,102,11.72,0.28,88.00
Pays-Bas,52.247649,5.541246,2020-04-23,35921,4192,101,11.67,0.28,88.05
Pays-Bas,52.247649,5.541246,2020-04-22,35032,4068,101,11.61,0.29,88.10
Pays-Bas,52.247649,5.541246,2020-04-21,34317,3929,74,11.45,0.22,88.34
Pays-Bas,52.247649,5.541246,2020-04-20,33588,3764,322,11.21,0.96,87.83
Pays-Bas,52.247649,5.541246,2020-04-19,32838,3697,322,11.26,0.98,87.76
Pays-Bas,52.247649,5.541246,2020-04-18,31766,3613,317,11.37,1.00,87.63
Pays-Bas,52.247649,5.541246,2020-04-17,30619,3471,315,11.34,1.03,87.64
Pays-Bas,52.247649,5.541246,2020-04-16,29383,3327,311,11.32,1.06,87.62
Pays-Bas,52.247649,5.541246,2020-04-15,28316,3145,304,11.11,1.07,87.82
Pays-Bas,52.247649,5.541246,2020-04-14,27580,2955,297,10.71,1.08,88.21
Pays-Bas,52.247649,5.541246,2020-04-13,26710,2833,295,10.61,1.10,88.29
Pays-Bas,52.247649,5.541246,2020-04-12,25746,2747,295,10.67,1.15,88.18
Pays-Bas,52.247649,5.541246,2020-04-11,24571,2653,291,10.80,1.18,88.02
Pays-Bas,52.247649,5.541246,2020-04-10,23249,2520,287,10.84,1.23,87.93
Pays-Bas,52.247649,5.541246,2020-04-09,21903,2403,278,10.97,1.27,87.76
Pays-Bas,52.247649,5.541246,2020-04-08,20682,2255,272,10.90,1.32,87.78
Pays-Bas,52.247649,5.541246,2020-04-07,19709,2108,272,10.70,1.38,87.92
Pays-Bas,52.247649,5.541246,2020-04-06,18926,1874,258,9.90,1.36,88.74
Pays-Bas,52.247649,5.541246,2020-04-05,17953,1771,257,9.86,1.43,88.70
Pays-Bas,52.247649,5.541246,2020-04-04,16727,1656,262,9.90,1.57,88.53
Pays-Bas,52.247649,5.541246,2020-04-03,15821,1490,260,9.42,1.64,88.94
Pays-Bas,52.247649,5.541246,2020-04-02,14788,1341,260,9.07,1.76,89.17
Pays-Bas,52.247649,5.541246,2020-04-01,13696,1175,260,8.58,1.90,89.52
Pays-Bas,52.247649,5.541246,2020-03-31,12667,1040,253,8.21,2.00,89.79
Pays-Bas,52.247649,5.541246,2020-03-30,11817,865,253,7.32,2.14,90.54
Pays-Bas,52.247649,5.541246,2020-03-29,10930,772,253,7.06,2.31,90.62
Pays-Bas,52.247649,5.541246,2020-03-28,9819,640,6,6.52,0.06,93.42
Pays-Bas,52.247649,5.541246,2020-03-27,8647,547,6,6.33,0.07,93.60
Pays-Bas,52.247649,5.541246,2020-03-26,7468,435,6,5.82,0.08,94.09
Pays-Bas,52.247649,5.541246,2020-03-25,6438,357,4,5.55,0.06,94.39
Pays-Bas,52.247649,5.541246,2020-03-24,5580,277,3,4.96,0.05,94.98
Pays-Bas,52.247649,5.541246,2020-03-23,4764,214,3,4.49,0.06,95.45
Pays-Bas,52.247649,5.541246,2020-03-22,4217,180,3,4.27,0.07,95.66
Pays-Bas,52.247649,5.541246,2020-03-21,3640,137,2,3.76,0.05,96.18
Pays-Bas,52.247649,5.541246,2020-03-20,3003,107,2,3.56,0.07,96.37
Pays-Bas,52.247649,5.541246,2020-03-19,2465,77,2,3.12,0.08,96.80
Pays-Bas,52.247649,5.541246,2020-03-18,2056,58,2,2.82,0.10,97.08
Pays-Bas,52.247649,5.541246,2020-03-17,1708,43,2,2.52,0.12,97.37
Pays-Bas,52.247649,5.541246,2020-03-16,1414,24,2,1.70,0.14,98.16
Pays-Bas,52.247649,5.541246,2020-03-15,1135,20,2,1.76,0.18,98.06
Pays-Bas,52.247649,5.541246,2020-03-14,959,12,2,1.25,0.21,98.54
Pays-Bas,52.247649,5.541246,2020-03-13,804,10,0,1.24,0.00,98.76
Pays-Bas,52.247649,5.541246,2020-03-12,614,5,2,0.81,0.33,98.86
Pays-Bas,52.247649,5.541246,2020-03-11,503,5,0,0.99,0.00,99.01
Pays-Bas,52.247649,5.541246,2020-03-10,382,4,0,1.05,0.00,98.95
Pays-Bas,52.247649,5.541246,2020-03-09,321,3,0,0.93,0.00,99.07
Pays-Bas,52.247649,5.541246,2020-03-08,265,3,0,1.13,0.00,98.87
Pays-Bas,52.247649,5.541246,2020-03-07,188,1,0,0.53,0.00,99.47
Pays-Bas,52.247649,5.541246,2020-03-06,128,1,0,0.78,0.00,99.22
Pays-Bas,52.247649,5.541246,2020-03-05,82,0,0,0.00,0.00,100.00
Pays-Bas,52.247649,5.541246,2020-03-04,38,0,0,0.00,0.00,100.00
Pays-Bas,52.247649,5.541246,2020-03-03,24,0,0,0.00,0.00,100.00
Pays-Bas,52.247649,5.541246,2020-03-02,18,0,0,0.00,0.00,100.00
